iter	Passed	Remaining
723	1070	408
724	1072	406
725	1073	405
726	1074	403
727	1075	401
728	1076	400
729	1077	398
730	1078	396
731	1079	395
732	1080	393
733	1081	392
734	1082	390
735	1083	388
736	1085	387
737	1086	385
738	1088	384
739	1089	382
740	1090	381
741	1091	379
742	1092	377
743	1093	376
744	1094	374
745	1096	373
746	1097	371
747	1098	369
748	1099	368
749	1100	366
750	1102	365
751	1103	363
752	1104	362
753	1105	360
754	1106	358
755	1107	357
756	1108	355
757	1108	354
758	1109	352
759	1110	350
760	1112	349
761	1113	347
762	1115	346
763	1116	344
764	1117	343
765	1118	341
766	1119	340
767	1120	338
768	1121	336
769	1122	335
770	1123	333
771	1124	332
772	1125	330
773	1126	329
774	1128	327
775	1129	326
776	1131	324
777	1132	323
778	1133	321
779	1135	320
780	1136	318
781	1137	317
782	1138	315
783	1140	314
784	1143	313
785	1144	311
786	1145	310
787	1146	308
788	1147	306
789	1148	305
790	1149	303
791	1150	302
792	1151	300
793	1152	299
794	1153	297
795	1155	296
796	1157	294
797	1158	293
798	1159	291
799	1160	290
800	1161	288
801	1162	287
802	1163	285
803	1164	283
804	1165	282
805	1166	280
806	1167	279
807	1168	277
808	1170	276
809	1171	274
810	1173	273
811	1173	271
812	1174	270
813	1175	268
814	1176	267
815	1178	265
816	1178	264
817	1179	262
818	1180	260
819	1181	259
820	1182	257
821	1184	256
822	1185	254
823	1186	253
824	1187	251
825	1188	250
826	1189	248
827	1190	247
828	1192	245
829	1192	244
830	1194	242
831	1195	241
832	1195	239
833	1196	238
834	1198	236
835	1199	235
836	1200	233
837	1201	232
838	1202	230
839	1203	229
840	1204	227
841	1205	226
842	1206	224
843	1207	223
844	1208	221
845	1209	220
846	1210	218
847	1211	217
848	1212	215
849	1213	214
850	1215	212
851	1216	211
852	1217	209
853	1218	208
854	1219	206
855	1220	205
856	1221	203
857	1222	202
858	1223	200
859	1224	199
860	1226	197
861	1227	196
862	1228	195
863	1229	193
864	1231	192
865	1232	190
866	1233	189
867	1234	187
868	1235	186
869	1236	184
870	1237	183
871	1238	181
872	1239	180
873	1240	178
874	1242	177
875	1243	176
876	1244	174
877	1245	173
878	1246	171
879	1247	170
880	1247	168
881	1248	167
882	1249	165
883	1250	164
884	1251	162
885	1252	161
886	1252	159
887	1254	158
888	1255	156
889	1257	155
890	1258	153
891	1259	152
892	1260	151
893	1261	149
894	1262	148
895	1263	146
896	1264	145
897	1265	143
898	1266	142
899	1267	140
900	1269	139
901	1271	138
902	1272	136
903	1273	135
904	1274	133
905	1276	132
906	1277	130
907	1277	129
908	1278	128
909	1279	126
910	1280	125
911	1281	123
912	1284	122
913	1285	120
914	1286	119
915	1287	118
916	1288	116
917	1289	115
918	1290	113
919	1291	112
920	1292	110
921	1293	109
922	1294	107
923	1295	106
924	1298	105
925	1299	103
926	1300	102
927	1301	101
928	1303	99
929	1304	98
930	1305	96
931	1306	95
932	1308	93
933	1309	92
934	1312	91
935	1313	89
936	1314	88
937	1315	86
938	1316	85
939	1317	84
940	1318	82
941	1320	81
942	1321	79
943	1322	78
944	1323	77
945	1324	75
946	1327	74
947	1328	72
948	1329	71
949	1330	70
950	1332	68
951	1333	67
952	1334	65
953	1335	64
954	1336	62
955	1338	61
956	1339	60
957	1340	58
958	1342	57
959	1343	55
960	1344	54
961	1346	53
962	1347	51
963	1348	50
964	1349	48
965	1350	47
966	1351	46
967	1354	44
968	1356	43
969	1357	41
970	1359	40
971	1360	39
972	1361	37
973	1362	36
974	1363	34
975	1365	33
976	1366	32
977	1368	30
978	1370	29
979	1371	27
980	1372	26
981	1374	25
982	1375	23
983	1376	22
984	1377	20
985	1378	19
986	1379	18
987	1381	16
988	1383	15
989	1385	13
990	1386	12
991	1387	11
992	1388	9
993	1389	8
994	1390	6
995	1392	5
996	1393	4
997	1394	2
998	1395	1
999	1397	0
